Unnamed: 0,tweets,tweets_tokenize,tweet_strings,lemm_tweets,neg,neu,pos,compound,sentiment,topic
370,singer abu both the and during the morocco world cup semi final match fifaworldcupqatar كأس_العالم_قطر,"['singer', 'abu', 'morocco', 'world', 'cup', 'semi', 'final', 'match', 'fifaworldcupqatar', 'كأس_العالم_قطر']",singer abu morocco world cup semi final match fifaworldcupqatar كأس_العالم_قطر,singer abu morocco world cup semi final match fifaworldcupqatar كأس_العالم_قطر,0.0,1.0,0.0,0.0,neutral,2
371,world cup  play off for third the just_for_fun follow the page for on the new contest during this season fifaworldcupqatar fifaworldcup fifaworldcup fifaworldcupqatar fifaworldcupqatar,"['world', 'cup', 'play', 'third', 'just_for_fun', 'follow', 'page', 'new', 'contest', 'season', 'fifaworldcupqatar', 'fifaworldcup', 'fifaworldcup', 'fifaworldcupqatar', 'fifaworldcupqatar']",world cup play third just_for_fun follow page new contest season fifaworldcupqatar fifaworldcup fifaworldcup fifaworldcupqatar fifaworldcupqatar,world cup play third just_for_fun follow page new contest season fifaworldcupqatar fifaworldcup fifaworldcup fifaworldcupqatar fifaworldcupqatar,0.0,0.854,0.146,0.34,positive,6
372,football final game i support and you fifaworldcupqatar,"['football', 'final', 'game', 'support', 'fifaworldcupqatar']",football final game support fifaworldcupqatar,football final game support fifaworldcupqatar,0.0,0.597,0.403,0.4019,positive,2
373,today s fixture rd and th place morocco venue khalifa international stadium kick off h fifaworldcupqatar qatar fifaworldcupqatar,"['today', 'fixture', 'rd', 'th', 'place', 'morocco', 'venue', 'khalifa', 'international', 'stadium', 'kick', 'h', 'fifaworldcupqatar', 'qatar', 'fifaworldcupqatar']",today fixture place morocco venue khalifa international stadium kick fifaworldcupqatar qatar fifaworldcupqatar,today fixture place morocco venue khalifa international stadium kick fifaworldcupqatar qatar fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,2
374,brilliant game,"['brilliant', 'game']",brilliant game,brilliant game,0.0,0.208,0.792,0.5859,positive,0
375,to fifaworldcupqatar,['fifaworldcupqatar'],fifaworldcupqatar,fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,2
376,the morocco national team received a hero welcome in rabat after a splendid showcase put up in fifaworldcupqatar and becoming the first team to reach at the world cup,"['morocco', 'national', 'team', 'received', 'hero', 'welcome', 'rabat', 'splendid', 'showcase', 'put', 'fifaworldcupqatar', 'becoming', 'first', 'team', 'reach', 'world', 'cup']",morocco national team received hero welcome rabat splendid showcase put fifaworldcupqatar becoming first team reach world cup,morocco national team received hero welcome rabat splendid showcase put fifaworldcupqatar becoming first team reach world cup,0.0,0.531,0.469,0.8885,positive,2
377,fifaworldcupqatar,['fifaworldcupqatar'],fifaworldcupqatar,fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,2
378,one man in two linking fifaworldcupqatar,"['one', 'man', 'two', 'linking', 'fifaworldcupqatar']",one man two linking fifaworldcupqatar,one man two linking fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,5
379,the winning moment   fifaworldcupqatar,"['winning', 'moment', 'fifaworldcupqatar']",winning moment fifaworldcupqatar,winning moment fifaworldcupqatar,0.0,0.37,0.63,0.5267,positive,2
380,the world cup champion will face in s final fifaworldcupqatar,"['world', 'cup', 'champion', 'face', 'final', 'fifaworldcupqatar']",world cup champion face final fifaworldcupqatar,world cup champion face final fifaworldcupqatar,0.0,0.562,0.438,0.5994,positive,2
381,just get him a very good tactical discipline top notch coach and rightful partner to play with,"['get', 'good', 'tactical', 'discipline', 'top', 'notch', 'coach', 'rightful', 'partner', 'play']",get good tactical discipline top notch coach rightful partner play,get good tactical discipline top notch coach rightful partner play,0.0,0.496,0.504,0.7269,positive,1
382,we want this so badly for this man here let s do it for this man uf uf uf fifaworldcupqatar,"['want', 'badly', 'man', 'let', 'man', 'uf', 'uf', 'uf', 'fifaworldcupqatar']",want badly man let man fifaworldcupqatar,want badly man let man fifaworldcupqatar,0.369,0.476,0.155,-0.4215,negative,4
383,an absolute thriller of a final perfect end to fifaworldcupqatar argentina,"['absolute', 'thriller', 'final', 'perfect', 'end', 'fifaworldcupqatar', 'argentina']",absolute thriller final perfect end fifaworldcupqatar argentina,absolute thriller final perfect end fifaworldcupqatar argentina,0.0,0.495,0.505,0.6249,positive,2
384,fan free kick ud from fifaworldcupqatar,"['fan', 'free', 'kick', 'ud', 'fifaworldcupqatar']",fan free kick fifaworldcupqatar,fan free kick fifaworldcupqatar,0.0,0.263,0.737,0.6808,positive,2
385,latest exclusive about the match between as he hain watch him promote on match live at the on th fifaworldcupqatar,"['latest', 'exclusive', 'match', 'hain', 'watch', 'promote', 'match', 'live', 'th', 'fifaworldcupqatar']",latest exclusive match hain watch promote match live fifaworldcupqatar,latest exclusive match hain watch promote match live fifaworldcupqatar,0.0,0.631,0.369,0.4767,positive,6
386,great team spirit,"['great', 'team', 'spirit']",great team spirit,great team spirit,0.0,0.147,0.853,0.7003,positive,1
387,most viral pic of the year  fifaworldcupqatar,"['viral', 'pic', 'year', 'fifaworldcupqatar']",viral pic year fifaworldcupqatar,viral pic year fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,0
388,and and in world cup final this is going to be a blockbuster xa xa xa fifaworldcupqatar,"['world', 'cup', 'final', 'going', 'blockbuster', 'xa', 'xa', 'xa', 'fifaworldcupqatar']",world cup final going blockbuster fifaworldcupqatar,world cup final going blockbuster fifaworldcupqatar,0.0,0.562,0.438,0.5994,positive,2
389,football is nothing without lionel what a career,"['football', 'nothing', 'without', 'lionel', 'career']",football nothing without lionel career,football nothing without lionel career,0.0,1.0,0.0,0.0,neutral,0
390,singer abu both the and during the morocco world cup semi final match fifaworldcupqatar كأس_العالم_قطر,"['singer', 'abu', 'morocco', 'world', 'cup', 'semi', 'final', 'match', 'fifaworldcupqatar', 'كأس_العالم_قطر']",singer abu morocco world cup semi final match fifaworldcupqatar كأس_العالم_قطر,singer abu morocco world cup semi final match fifaworldcupqatar كأس_العالم_قطر,0.0,1.0,0.0,0.0,neutral,2
391,world cup  play off for third the just_for_fun follow the page for on the new contest during this season fifaworldcupqatar fifaworldcup fifaworldcup fifaworldcupqatar fifaworldcupqatar,"['world', 'cup', 'play', 'third', 'just_for_fun', 'follow', 'page', 'new', 'contest', 'season', 'fifaworldcupqatar', 'fifaworldcup', 'fifaworldcup', 'fifaworldcupqatar', 'fifaworldcupqatar']",world cup play third just_for_fun follow page new contest season fifaworldcupqatar fifaworldcup fifaworldcup fifaworldcupqatar fifaworldcupqatar,world cup play third just_for_fun follow page new contest season fifaworldcupqatar fifaworldcup fifaworldcup fifaworldcupqatar fifaworldcupqatar,0.0,0.854,0.146,0.34,positive,6
392,football final game i support and you fifaworldcupqatar,"['football', 'final', 'game', 'support', 'fifaworldcupqatar']",football final game support fifaworldcupqatar,football final game support fifaworldcupqatar,0.0,0.597,0.403,0.4019,positive,2
393,today s fixture rd and th place morocco venue khalifa international stadium kick off h fifaworldcupqatar qatar fifaworldcupqatar,"['today', 'fixture', 'rd', 'th', 'place', 'morocco', 'venue', 'khalifa', 'international', 'stadium', 'kick', 'h', 'fifaworldcupqatar', 'qatar', 'fifaworldcupqatar']",today fixture place morocco venue khalifa international stadium kick fifaworldcupqatar qatar fifaworldcupqatar,today fixture place morocco venue khalifa international stadium kick fifaworldcupqatar qatar fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,2
394,brilliant game,"['brilliant', 'game']",brilliant game,brilliant game,0.0,0.208,0.792,0.5859,positive,0
395,to fifaworldcupqatar,['fifaworldcupqatar'],fifaworldcupqatar,fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,2
396,the morocco national team received a hero welcome in rabat after a splendid showcase put up in fifaworldcupqatar and becoming the first team to reach at the world cup,"['morocco', 'national', 'team', 'received', 'hero', 'welcome', 'rabat', 'splendid', 'showcase', 'put', 'fifaworldcupqatar', 'becoming', 'first', 'team', 'reach', 'world', 'cup']",morocco national team received hero welcome rabat splendid showcase put fifaworldcupqatar becoming first team reach world cup,morocco national team received hero welcome rabat splendid showcase put fifaworldcupqatar becoming first team reach world cup,0.0,0.531,0.469,0.8885,positive,2
397,fifaworldcupqatar,['fifaworldcupqatar'],fifaworldcupqatar,fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,2
398,one man in two linking fifaworldcupqatar,"['one', 'man', 'two', 'linking', 'fifaworldcupqatar']",one man two linking fifaworldcupqatar,one man two linking fifaworldcupqatar,0.0,1.0,0.0,0.0,neutral,5
399,the winning moment   fifaworldcupqatar,"['winning', 'moment', 'fifaworldcupqatar']",winning moment fifaworldcupqatar,winning moment fifaworldcupqatar,0.0,0.37,0.63,0.5267,positive,2
400,the world cup champion will face in s final fifaworldcupqatar,"['world', 'cup', 'champion', 'face', 'final', 'fifaworldcupqatar']",world cup champion face final fifaworldcupqatar,world cup champion face final fifaworldcupqatar,0.0,0.562,0.438,0.5994,positive,2
401,just get him a very good tactical discipline top notch coach and rightful partner to play with,"['get', 'good', 'tactical', 'discipline', 'top', 'notch', 'coach', 'rightful', 'partner', 'play']",get good tactical discipline top notch coach rightful partner play,get good tactical discipline top notch coach rightful partner play,0.0,0.496,0.504,0.7269,positive,1
402,we want this so badly for this man here let s do it for this man uf uf uf fifaworldcupqatar,"['want', 'badly', 'man', 'let', 'man', 'uf', 'uf', 'uf', 'fifaworldcupqatar']",want badly man let man fifaworldcupqatar,want badly man let man fifaworldcupqatar,0.369,0.476,0.155,-0.4215,negative,4
403,an absolute thriller of a final perfect end to fifaworldcupqatar argentina,"['absolute', 'thriller', 'final', 'perfect', 'end', 'fifaworldcupqatar', 'argentina']",absolute thriller final perfect end fifaworldcupqatar argentina,absolute thriller final perfect end fifaworldcupqatar argentina,0.0,0.495,0.505,0.6249,positive,2
404,fan free kick ud from fifaworldcupqatar,"['fan', 'free', 'kick', 'ud', 'fifaworldcupqatar']",fan free kick fifaworldcupqatar,fan free kick fifaworldcupqatar,0.0,0.263,0.737,0.6808,positive,2
405,latest exclusive about the match between as he hain watch him promote on match live at the on th fifaworldcupqatar,"['latest', 'exclusive', 'match', 'hain', 'watch', 'promote', 'match', 'live', 'th', 'fifaworldcupqatar']",latest exclusive match hain watch promote match live fifaworldcupqatar,latest exclusive match hain watch promote match live fifaworldcupqatar,0.0,0.631,0.369,0.4767,positive,6
